owner,repo,full_name,html_url,description,language,stargazers_count,forks_count,open_issues_count,archived,created_at,updated_at,pushed_at
moj-analytical-services,splink,moj-analytical-services/splink,https://github.com/moj-analytical-services/splink,"Fast, accurate and scalable probabilistic data linkage with support for multiple SQL backends",Python,1729,190,211,False,2019-11-22T14:27:33Z,2025-10-02T13:41:00Z,2025-10-02T13:42:39Z
Delta-ML,delta,Delta-ML/delta,https://github.com/Delta-ML/delta,DELTA is a deep learning based natural language and speech processing platform. LF AI & DATA Projects: https://lfaidata.foundation/projects/delta/,Python,1599,288,3,False,2019-05-29T08:33:57Z,2025-09-30T11:54:40Z,2025-04-16T19:27:35Z
quixio,quix-streams,quixio/quix-streams,https://github.com/quixio/quix-streams,Python Streaming DataFrames for Kafka,Python,1450,90,22,False,2022-11-17T20:36:03Z,2025-09-30T21:26:12Z,2025-09-30T21:26:08Z
astronomer,dag-factory,astronomer/dag-factory,https://github.com/astronomer/dag-factory,Construct Apache Airflow DAGs Declaratively via YAML configuration files,Python,1346,210,80,False,2018-11-21T00:20:36Z,2025-10-01T16:50:44Z,2025-10-01T13:26:57Z
toluaina,pgsync,toluaina/pgsync,https://github.com/toluaina/pgsync,Postgres to Elasticsearch/OpenSearch sync,Python,1335,200,201,False,2019-08-17T11:23:28Z,2025-09-28T22:22:42Z,2025-09-28T22:22:39Z
aio-libs,aiokafka,aio-libs/aiokafka,https://github.com/aio-libs/aiokafka,asyncio client for kafka,Python,1320,248,172,False,2014-11-01T09:42:10Z,2025-10-02T23:03:46Z,2025-07-27T14:06:09Z
narwhals-dev,narwhals,narwhals-dev/narwhals,https://github.com/narwhals-dev/narwhals,Lightweight and extensible compatibility layer between dataframe libraries!,Python,1309,166,202,False,2024-02-19T17:51:14Z,2025-10-02T15:28:22Z,2025-10-02T22:20:57Z
Data-Learn,data-engineering,Data-Learn/data-engineering,https://github.com/Data-Learn/data-engineering,Getting Started with Data Enngineering,Python,1294,590,10,False,2020-05-14T02:11:25Z,2025-09-24T12:09:25Z,2025-04-20T18:40:30Z
duckdb,dbt-duckdb,duckdb/dbt-duckdb,https://github.com/duckdb/dbt-duckdb,dbt (http://getdbt.com) adapter for DuckDB (http://duckdb.org),Python,1152,121,62,False,2020-09-25T16:54:41Z,2025-10-02T12:36:14Z,2025-09-29T21:21:10Z
NVIDIA-Merlin,NVTabular,NVIDIA-Merlin/NVTabular,https://github.com/NVIDIA-Merlin/NVTabular,NVTabular is a feature engineering and preprocessing library for tabular data designed to quickly and easily manipulate terabyte scale datasets used to train deep learning based recommender systems.,Python,1101,144,209,False,2020-04-03T16:01:17Z,2025-10-01T15:05:39Z,2025-09-15T19:11:16Z
superlinear-ai,raglite,superlinear-ai/raglite,https://github.com/superlinear-ai/raglite,🥤 RAGLite is a Python toolkit for Retrieval-Augmented Generation (RAG) with DuckDB or PostgreSQL,Python,1082,99,20,False,2024-06-10T09:05:57Z,2025-10-01T13:43:42Z,2025-09-30T12:15:53Z
confluentinc,cp-all-in-one,confluentinc/cp-all-in-one,https://github.com/confluentinc/cp-all-in-one,"docker-compose.yml files for cp-all-in-one , cp-all-in-one-community, cp-all-in-one-cloud, Apache Kafka Confluent Platform",Python,1079,702,41,False,2020-04-02T17:23:46Z,2025-10-01T02:50:10Z,2025-09-27T23:47:28Z
astronomer,astronomer-cosmos,astronomer/astronomer-cosmos,https://github.com/astronomer/astronomer-cosmos,Run your dbt Core or dbt Fusion projects as Apache Airflow DAGs and Task Groups with a few lines of code,Python,1049,239,267,False,2022-12-13T13:08:12Z,2025-10-02T13:59:07Z,2025-10-02T13:59:02Z
sauljabin,kaskade,sauljabin/kaskade,https://github.com/sauljabin/kaskade,"kaskade is a text user interface for kafka, which allows you to interact and consume topics from your terminal in style!",Python,956,19,12,False,2021-09-15T22:09:16Z,2025-09-29T19:20:32Z,2025-06-01T18:31:28Z
ydf0509,funboost,ydf0509/funboost,https://github.com/ydf0509/funboost,"pip install funboost，python全功能分布式函数调度框架,funboost的功能是全面性重量级，用户能想得到的功能99%全都有;funboost的使用方式是轻量级，只有@boost一行代码需要写。支持python所有类型的并发模式和一切知名消息队列中间件，支持如 celery dramatiq等框架整体作为funboost中间件，python函数加速器，框架包罗万象，用户能想到的控制功能全都有。一统编程思维，兼容50% python业务场景，适用范围广。只需要一行代码即可分布式执行python一切函数，99%用过funboost的pythoner 感受是　简易 方便 自由 强大，相见恨晚 。",Python,824,157,5,False,2021-12-25T17:23:10Z,2025-09-29T14:47:25Z,2025-09-17T03:50:08Z
dbt-checkpoint,dbt-checkpoint,dbt-checkpoint/dbt-checkpoint,https://github.com/dbt-checkpoint/dbt-checkpoint,:fishing_pole_and_fish: List of `pre-commit` hooks to ensure the quality of your `dbt` projects.,Python,688,145,125,False,2020-12-28T21:42:26Z,2025-10-01T18:41:10Z,2025-05-08T15:09:34Z
elastic,eland,elastic/eland,https://github.com/elastic/eland,"Python Client and Toolkit for DataFrames, Big Data, Machine Learning and ETL in Elasticsearch",Python,686,111,86,False,2019-06-11T07:24:06Z,2025-09-17T14:37:07Z,2025-09-24T17:06:09Z
litestar-org,advanced-alchemy,litestar-org/advanced-alchemy,https://github.com/litestar-org/advanced-alchemy,"A carefully crafted, thoroughly tested, optimized companion library for SQLAlchemy",Python,657,55,44,False,2023-09-05T18:45:18Z,2025-10-02T09:50:00Z,2025-09-27T18:25:29Z
trustgraph-ai,trustgraph,trustgraph-ai/trustgraph,https://github.com/trustgraph-ai/trustgraph,"The agentic AI platform for enterprise. Built by data engineers for data engineers. Complete context engineering and LLM orchestration infrastructure. Run anywhere - local, cloud, or bare metal.",Python,640,50,14,False,2024-07-10T19:14:04Z,2025-10-02T19:14:15Z,2025-09-30T22:04:48Z
gangly,datafaker,gangly/datafaker,https://github.com/gangly/datafaker,Datafaker is a large-scale test data and flow test data generation tool. Datafaker fakes data and inserts to  varied data sources. 测试数据生成工具,Python,639,169,89,False,2019-03-26T03:21:11Z,2025-08-31T12:17:31Z,2025-07-26T09:58:15Z
turbolytics,sql-flow,turbolytics/sql-flow,https://github.com/turbolytics/sql-flow,DuckDB for streaming data,Python,631,16,31,False,2023-11-21T22:18:36Z,2025-09-30T11:04:22Z,2025-09-04T21:50:25Z
z3z1ma,dbt-osmosis,z3z1ma/dbt-osmosis,https://github.com/z3z1ma/dbt-osmosis,Provides automated YAML management and a streamlit workbench. Designed to optimize dev workflows.,Python,567,72,38,False,2021-09-25T01:19:15Z,2025-10-01T18:57:21Z,2025-09-04T15:38:14Z
aryn-ai,sycamore,aryn-ai/sycamore,https://github.com/aryn-ai/sycamore,🍁 Sycamore is an LLM-powered search and analytics platform for unstructured data.,Python,562,65,56,False,2023-07-07T17:25:31Z,2025-10-02T21:23:30Z,2025-10-02T22:39:12Z
insitro,redun,insitro/redun,https://github.com/insitro/redun,Yet another redundant workflow engine,Python,559,53,33,False,2021-11-04T00:14:09Z,2025-10-01T00:08:06Z,2025-09-18T13:27:16Z
catalyst-cooperative,pudl,catalyst-cooperative/pudl,https://github.com/catalyst-cooperative/pudl,"The Public Utility Data Liberation Project provides analysis-ready energy system data to climate advocates, researchers, policymakers, and journalists.",Python,556,128,432,False,2017-02-01T17:45:40Z,2025-10-02T22:24:33Z,2025-10-02T22:24:30Z
matsonj,nba-monte-carlo,matsonj/nba-monte-carlo,https://github.com/matsonj/nba-monte-carlo,"Monte Carlo simulation of the NBA season, leveraging dbt, duckdb and evidence.dev",Python,553,75,0,False,2022-09-29T05:42:51Z,2025-09-30T17:32:11Z,2025-09-30T17:32:07Z
gouline,dbt-metabase,gouline/dbt-metabase,https://github.com/gouline/dbt-metabase,dbt + Metabase integration,Python,544,78,1,False,2019-12-12T09:23:22Z,2025-09-30T10:55:45Z,2025-09-29T09:42:15Z
vlm-run,vlmrun-hub,vlm-run/vlmrun-hub,https://github.com/vlm-run/vlmrun-hub,A hub for various industry-specific schemas to be used with VLMs.,Python,535,23,8,False,2024-11-11T20:07:48Z,2025-09-30T18:21:45Z,2025-05-27T15:14:02Z
miurahr,py7zr,miurahr/py7zr,https://github.com/miurahr/py7zr,"7zip in python3 with ZStandard, PPMd, LZMA2, LZMA1, Delta, BCJ, BZip2, and Deflate compressions, and AES encryption.",Python,513,82,39,False,2019-03-17T03:33:35Z,2025-10-02T18:41:16Z,2025-10-02T18:41:12Z
tconbeer,sqlfmt,tconbeer/sqlfmt,https://github.com/tconbeer/sqlfmt,sqlfmt formats your dbt SQL files so you don't have to,Python,486,24,54,False,2021-07-19T16:40:37Z,2025-09-29T16:22:54Z,2025-08-09T16:08:19Z
astronomer,astronomer,astronomer/astronomer,https://github.com/astronomer/astronomer,"Helm Charts for the Astronomer Platform, Apache Airflow as a Service on Kubernetes",Python,483,93,23,False,2018-01-15T21:09:14Z,2025-10-02T13:50:21Z,2025-10-02T13:58:33Z
astronomer,airflow-ai-sdk,astronomer/airflow-ai-sdk,https://github.com/astronomer/airflow-ai-sdk,"An SDK for working with LLMs and AI Agents from Apache Airflow, based on Pydantic AI",Python,478,35,14,False,2025-03-07T02:32:49Z,2025-10-01T17:29:51Z,2025-09-25T19:06:14Z
aws-solutions-library-samples,data-lakes-on-aws,aws-solutions-library-samples/data-lakes-on-aws,https://github.com/aws-solutions-library-samples/data-lakes-on-aws,"Enterprise-grade, production-hardened, serverless data lake on AWS",Python,472,149,19,False,2020-09-08T22:45:31Z,2025-10-02T10:10:03Z,2025-10-01T07:06:23Z
elementary-data,dbt-data-reliability,elementary-data/dbt-data-reliability,https://github.com/elementary-data/dbt-data-reliability,"dbt package that is part of Elementary, the dbt-native data observability solution for data & analytics engineers. Monitor your data pipelines in minutes. Available as self-hosted or cloud service with premium features.",Python,464,113,17,False,2022-01-09T13:15:45Z,2025-10-01T23:14:51Z,2025-10-02T13:48:55Z
